loss_train, loss_valid
296.5260925292969, 297.4581604003906
295.1866149902344, 296.36187744140625
293.9427185058594, 294.9496154785156
292.5509338378906, 293.6329345703125
291.2231140136719, 291.6892395019531
289.7519226074219, 290.1656188964844
288.13751220703125, 288.90777587890625
286.33648681640625, 287.7821350097656
284.53375244140625, 284.6159362792969
282.2807922363281, 282.2655334472656
280.1050109863281, 279.76495361328125
277.456787109375, 277.0194396972656
274.68975830078125, 273.9032897949219
271.30999755859375, 269.45465087890625
267.3757019042969, 265.0378723144531
261.7236022949219, 254.59396362304688
253.1969757080078, 236.2998809814453
235.52493286132812, 202.5428009033203
199.55148315429688, 183.92340087890625
198.67892456054688, 166.12925720214844
175.4249725341797, 174.13250732421875
175.12326049804688, 178.66494750976562
178.16868591308594, 172.97975158691406
173.4322967529297, 162.62124633789062
163.1598663330078, 146.3979034423828
163.10557556152344, 160.46900939941406
165.7915802001953, 155.76806640625
156.26527404785156, 160.6329345703125
156.653076171875, 157.8836669921875
158.10203552246094, 147.56724548339844
154.76028442382812, 149.39547729492188
151.01438903808594, 140.9402313232422
151.688720703125, 142.53822326660156
153.24380493164062, 152.53692626953125
149.34829711914062, 148.33482360839844
150.6602325439453, 145.2154541015625
151.18212890625, 144.6664581298828
148.15643310546875, 152.7953338623047
146.31944274902344, 148.29248046875
148.0116424560547, 146.44285583496094
144.989990234375, 146.66934204101562
142.96710205078125, 139.79351806640625
145.70388793945312, 148.24632263183594
143.6996612548828, 130.82371520996094
142.1307830810547, 134.18067932128906
140.56297302246094, 138.49484252929688
139.11549377441406, 138.03990173339844
141.21177673339844, 141.55552673339844
138.4187774658203, 125.88492584228516
137.8236541748047, 124.98783874511719
135.88633728027344, 135.43751525878906
133.99996948242188, 133.17526245117188
134.4489288330078, 130.40928649902344
133.11219787597656, 132.50270080566406
133.45962524414062, 127.50005340576172
132.40322875976562, 131.71669006347656
131.53878784179688, 123.45835876464844
130.5172882080078, 129.40826416015625
128.44261169433594, 127.87715911865234
128.5752716064453, 124.38963317871094
128.0648651123047, 123.94354248046875
126.30867004394531, 117.54204559326172
125.8802261352539, 122.81332397460938
125.33028411865234, 121.87256622314453
124.34630584716797, 122.48497009277344
122.59312438964844, 118.07295227050781
123.6531982421875, 124.73262023925781
120.75716400146484, 127.04483032226562
122.87104034423828, 121.73218536376953
121.56082916259766, 112.73135375976562
119.34673309326172, 109.32447052001953
119.41544342041016, 121.60929107666016
119.38520812988281, 118.71363067626953
119.1758804321289, 115.08525085449219
118.7392807006836, 123.72467041015625
118.23673248291016, 118.60208892822266
116.25055694580078, 122.11156463623047
117.22598266601562, 122.49846649169922
116.96613311767578, 107.01651000976562
114.71598052978516, 113.13929748535156
114.68732452392578, 112.20307159423828
112.97233581542969, 113.59767150878906
112.12973022460938, 120.25799560546875
113.5677719116211, 117.77578735351562
111.98821258544922, 104.45246887207031
115.35670471191406, 112.10972595214844
110.67020416259766, 106.58343505859375
109.69495391845703, 119.79813385009766
111.93663024902344, 114.6890869140625
110.33220672607422, 123.6642837524414
111.9052734375, 105.55916595458984
109.30731201171875, 113.33334350585938
109.54536437988281, 114.1017074584961
109.16466522216797, 111.03402709960938
111.36539459228516, 108.3856201171875
109.21536254882812, 103.83270263671875
108.49677276611328, 108.86576080322266
104.96659851074219, 107.45018005371094
103.26346588134766, 109.42488861083984
108.78305053710938, 111.33329010009766
108.89649200439453, 111.11054992675781
108.02303314208984, 114.8239517211914
110.3204345703125, 94.84017181396484
105.67340850830078, 111.57205963134766
106.40374755859375, 114.11849212646484
111.68963623046875, 117.17662048339844
103.8702392578125, 113.2811279296875
104.6690444946289, 94.07919311523438
106.35243225097656, 100.04315185546875
105.47879028320312, 107.8172378540039
102.6638412475586, 114.6351318359375
104.52232360839844, 94.74620056152344
105.03428649902344, 103.53231811523438
104.50460815429688, 98.69232940673828
100.86429595947266, 103.25704193115234
103.62553405761719, 115.74597930908203
105.48204040527344, 104.06587982177734
100.94772338867188, 90.98796844482422
102.88047790527344, 102.03627014160156
107.2692642211914, 106.17948913574219
103.96004486083984, 100.71449279785156
106.7121810913086, 117.61843872070312
109.23925018310547, 99.17771911621094
101.58256530761719, 105.88420867919922
112.69461822509766, 122.41455841064453
121.1257553100586, 129.71852111816406
116.46634674072266, 103.6883316040039
114.29126739501953, 93.10596466064453
100.70512390136719, 107.56082153320312
106.89106750488281, 97.78382110595703
101.55103302001953, 108.74736022949219
109.73268127441406, 96.6470947265625
107.557861328125, 109.40946197509766
107.00489807128906, 106.65556335449219
101.74085235595703, 94.29039764404297
108.87686157226562, 108.10520935058594
107.04573059082031, 114.04327392578125
107.67496490478516, 103.56306457519531
100.87548065185547, 107.38133239746094
111.01177215576172, 108.44349670410156
101.98284149169922, 100.59870910644531
105.54438018798828, 101.62408447265625
101.74011993408203, 103.09223937988281
107.8156967163086, 110.75296783447266
103.28467559814453, 121.52581024169922
106.2974624633789, 98.38140106201172
102.88306427001953, 102.3307876586914
104.9564208984375, 104.5174560546875
99.37615966796875, 97.41204071044922
102.56970977783203, 104.74109649658203
101.2413101196289, 94.40169525146484
103.96031188964844, 112.53118133544922
100.96759033203125, 101.80174255371094
102.93832397460938, 93.25897216796875
102.05738830566406, 95.35649871826172
101.24774932861328, 97.22718048095703
99.3897476196289, 94.77549743652344
